"County","Year","Total.Revenues","Estimated.Population","Revenues.Per.Capita","AcresBurned","StructuresDestroyed"
"colusa",2018,61167967,22098,2768,48920,35
"colusa",2018,61167967,22098,2768,410203,246
"colusa",2019,66171628,22117,2992,20,NA
"contra costa",2013,2221080341,1074702,2067,3111,NA
"contra costa",2013,2221080341,1074702,2067,274,NA
"contra costa",2013,2221080341,1074702,2067,492,NA
"contra costa",2014,2333410531,1087008,2147,80,NA
"contra costa",2015,2711238104,1102871,2458,195,NA
"contra costa",2016,2793581608,1123429,2487,40,NA
"contra costa",2017,3072465406,1139513,2696,370,NA
"contra costa",2017,3072465406,1139513,2696,231,NA
"contra costa",2017,3072465406,1139513,2696,20,NA
"contra costa",2018,3228395078,1149363,2809,56,NA
"contra costa",2018,3228395078,1149363,2809,268,NA
"contra costa",2018,3228395078,1149363,2809,20,NA
"contra costa",2018,3228395078,1149363,2809,23,NA
"contra costa",2018,3228395078,1149363,2809,247,1
"contra costa",2018,3228395078,1149363,2809,30,NA
"contra costa",2018,3228395078,1149363,2809,25,NA
"contra costa",2018,3228395078,1149363,2809,40,NA
"contra costa",2018,3228395078,1149363,2809,45,NA
"contra costa",2019,3693227329,1155879,3195,150,NA
"contra costa",2019,3693227329,1155879,3195,40,NA
"contra costa",2019,3693227329,1155879,3195,757,NA
"contra costa",2019,3693227329,1155879,3195,24,NA
"contra costa",2019,3693227329,1155879,3195,15,NA
"contra costa",2019,3693227329,1155879,3195,50,NA
"contra costa",2019,3693227329,1155879,3195,200,NA
"contra costa",2019,3693227329,1155879,3195,58,NA
"contra costa",2019,3693227329,1155879,3195,23,NA
"del norte",2015,68798879,28031,2454,30361,NA
"del norte",2015,68798879,28031,2454,7509,NA
"del norte",2016,71405306,26811,2663,150,NA
"del norte",2017,68538964,27124,2527,40,NA
"del norte",2017,68538964,27124,2527,28,NA
"del norte",2017,68538964,27124,2527,319,NA
"el dorado",2013,284773753,182286,1562,572,NA
"el dorado",2013,284773753,182286,1562,116,1
"el dorado",2013,284773753,182286,1562,163,NA
"el dorado",2013,284773753,182286,1562,38,NA
"el dorado",2014,293637831,182404,1610,4240,67
"el dorado",2014,293637831,182404,1610,94,NA
"el dorado",2014,293637831,182404,1610,20,NA
"el dorado",2014,293637831,182404,1610,97717,80
"el dorado",2014,293637831,182404,1610,30,NA
"el dorado",2015,291471085,184917,1576,25,NA
"el dorado",2015,291471085,184917,1576,75,NA
"el dorado",2015,291471085,184917,1576,35,NA
"el dorado",2016,310061101,183750,1687,5646,NA
"el dorado",2016,310061101,183750,1687,25,NA
"el dorado",2016,310061101,183750,1687,176,NA
"el dorado",2016,310061101,183750,1687,25,NA
"el dorado",2016,310061101,183750,1687,50,NA
"el dorado",2017,320597586,185062,1732,426,NA
"el dorado",2017,320597586,185062,1732,140,NA
"el dorado",2017,320597586,185062,1732,80,NA
"el dorado",2017,320597586,185062,1732,74,NA
"el dorado",2017,320597586,185062,1732,13,NA
"el dorado",2017,320597586,185062,1732,136,NA
"el dorado",2017,320597586,185062,1732,236,NA
"el dorado",2017,320597586,185062,1732,13,NA
"el dorado",2017,320597586,185062,1732,29,NA
"el dorado",2018,333516608,188399,1770,150,NA
"el dorado",2018,333516608,188399,1770,67,NA
"el dorado",2018,333516608,188399,1770,316,NA
"el dorado",2018,333516608,188399,1770,66,1
"el dorado",2018,333516608,188399,1770,12,4
"el dorado",2019,447199542,191848,2331,85,4
"el dorado",2019,447199542,191848,2331,22,NA
"el dorado",2019,447199542,191848,2331,3435,NA
"el dorado",2019,447199542,191848,2331,35,NA
"el dorado",2019,447199542,191848,2331,16,NA
"el dorado",2019,447199542,191848,2331,13,NA
"fresno",2013,1268655618,952166,1332,150,NA
"fresno",2013,1268655618,952166,1332,35,NA
"fresno",2013,1268655618,952166,1332,108,NA
"fresno",2013,1268655618,952166,1332,46,NA
"fresno",2013,1268655618,952166,1332,80,NA
"fresno",2013,1268655618,952166,1332,22992,NA
"fresno",2014,1318767726,964040,1368,106,NA
"fresno",2014,1318767726,964040,1368,25,NA
"fresno",2014,1318767726,964040,1368,40,1
"fresno",2015,1376617063,972297,1416,45,NA
"fresno",2015,1376617063,972297,1416,170,NA
"fresno",2015,1376617063,972297,1416,151623,NA
"fresno",2015,1376617063,972297,1416,60,NA
"fresno",2016,1488440576,984541,1512,278,NA
"fresno",2016,1488440576,984541,1512,151,NA
"fresno",2016,1488440576,984541,1512,2241,4
"fresno",2016,1488440576,984541,1512,2944,NA
"fresno",2016,1488440576,984541,1512,132,NA
"fresno",2016,1488440576,984541,1512,70,NA
"fresno",2016,1488440576,984541,1512,158,NA
"fresno",2016,1488440576,984541,1512,123,NA
"fresno",2016,1488440576,984541,1512,145,NA
"fresno",2016,1488440576,984541,1512,188,NA
"fresno",2016,1488440576,984541,1512,7050,2
"fresno",2016,1488440576,984541,1512,2100,NA
"fresno",2017,1683934000,995975,1691,10343,NA
"fresno",2017,1683934000,995975,1691,1649,NA
"fresno",2017,1683934000,995975,1691,186,NA
"fresno",2017,1683934000,995975,1691,16,NA
"fresno",2017,1683934000,995975,1691,1538,NA
"fresno",2017,1683934000,995975,1691,450,NA
"fresno",2017,1683934000,995975,1691,70,NA
"fresno",2017,1683934000,995975,1691,58,3
"fresno",2017,1683934000,995975,1691,76,NA
"fresno",2017,1683934000,995975,1691,126,NA
"fresno",2017,1683934000,995975,1691,69,NA
"fresno",2017,1683934000,995975,1691,31,NA
"fresno",2017,1683934000,995975,1691,357,NA
"fresno",2017,1683934000,995975,1691,91,5
"fresno",2017,1683934000,995975,1691,400,NA
"fresno",2017,1683934000,995975,1691,102,NA
"fresno",2017,1683934000,995975,1691,5738,NA
"fresno",2017,1683934000,995975,1691,237,NA
"fresno",2017,1683934000,995975,1691,100,NA
"fresno",2017,1683934000,995975,1691,18,NA
"fresno",2017,1683934000,995975,1691,57,NA
"fresno",2017,1683934000,995975,1691,111,NA
"fresno",2017,1683934000,995975,1691,976,NA
"fresno",2017,1683934000,995975,1691,10,NA
"fresno",2018,1770913000,1007229,1758,32,NA
"fresno",2018,1770913000,1007229,1758,13,NA
"fresno",2018,1770913000,1007229,1758,108,NA
"fresno",2018,1770913000,1007229,1758,76,NA
"fresno",2018,1770913000,1007229,1758,30,NA
"fresno",2019,1936296000,1018241,1902,121,NA
"fresno",2019,1936296000,1018241,1902,137,NA
"fresno",2019,1936296000,1018241,1902,25,NA
"glenn",2013,68574194,28349,2419,226,NA
"glenn",2013,68574194,28349,2419,217,NA
"glenn",2017,74713016,28731,2600,0,NA
"glenn",2018,84691057,28796,2941,410203,246
"glenn",2018,84691057,28796,2941,75,NA
"glenn",2018,84691057,28796,2941,127,NA
"glenn",2018,84691057,28796,2941,2290,1
"glenn",2019,91677332,29132,3147,63,NA
"humboldt",2013,237749673,135209,1758,0,NA
"humboldt",2013,237749673,135209,1758,12503,NA
"humboldt",2014,255394014,134648,1897,18,NA
"humboldt",2014,255394014,134648,1897,37,NA
"humboldt",2014,255394014,134648,1897,333,NA
"humboldt",2014,255394014,134648,1897,210,NA
"humboldt",2015,263699647,134398,1962,158,NA
"humboldt",2015,263699647,134398,1962,20,NA
"humboldt",2015,263699647,134398,1962,16,NA
"humboldt",2015,263699647,134398,1962,146,NA
"humboldt",2015,263699647,134398,1962,4883,7
"humboldt",2016,278719066,135116,2063,599,3
"humboldt",2016,278719066,135116,2063,23,NA
"humboldt",2016,278719066,135116,2063,21,NA
"humboldt",2017,307219596,136953,2243,19,NA
"humboldt",2017,307219596,136953,2243,34,NA
"humboldt",2017,307219596,136953,2243,20,NA
"humboldt",2017,307219596,136953,2243,30,NA
"humboldt",2017,307219596,136953,2243,40,NA
"humboldt",2017,307219596,136953,2243,85,NA
"humboldt",2018,367766900,136002,2704,10,NA
"humboldt",2018,367766900,136002,2704,3674,NA
"humboldt",2018,367766900,136002,2704,0,NA
"humboldt",2018,367766900,136002,2704,16,NA
"humboldt",2019,388436302,135333,2870,30,NA
"inyo",2013,66259711,18573,3568,406,0
"inyo",2014,68985619,18590,3711,65,NA
"inyo",2014,68985619,18590,3711,113,NA
"inyo",2015,68983106,18574,3714,7000,40
"inyo",2016,70957422,18650,3805,30,NA
"inyo",2016,70957422,18650,3805,5443,NA
"inyo",2018,79628705,18577,4286,2070,NA
"inyo",2018,79628705,18577,4286,2883,NA
"inyo",2018,79628705,18577,4286,1265,NA
"inyo",2018,79628705,18577,4286,338,NA
"inyo",2019,84868491,18593,4565,1975,NA
"inyo",2019,84868491,18593,4565,10296,NA
"kern",2013,1677222851,857882,1955,612,NA
"kern",2013,1677222851,857882,1955,712,NA
"kern",2013,1677222851,857882,1955,4346,NA
"kern",2013,1677222851,857882,1955,794,NA
"kern",2014,1698256686,873092,1945,70,NA
"kern",2014,1698256686,873092,1945,3895,NA
"kern",2014,1698256686,873092,1945,4045,NA
"kern",2014,1698256686,873092,1945,1680,NA
"kern",2015,1799121449,874264,2058,45,NA
"kern",2015,1799121449,874264,2058,167,NA
"kern",2015,1799121449,874264,2058,67,NA
"kern",2016,1832093877,886507,2067,29322,NA
"kern",2016,1832093877,886507,2067,61,NA
"kern",2016,1832093877,886507,2067,518,NA
"kern",2016,1832093877,886507,2067,48019,NA
"kern",2016,1832093877,886507,2067,138,NA
"kern",2016,1832093877,886507,2067,554,NA
"kern",2016,1832093877,886507,2067,100,NA
"kern",2016,1832093877,886507,2067,1785,NA
"kern",2016,1832093877,886507,2067,221,NA
"kern",2016,1832093877,886507,2067,43,NA
"kern",2016,1832093877,886507,2067,306,NA
"kern",2016,1832093877,886507,2067,304,NA
"kern",2017,1834349504,895112,2049,31,NA
"kern",2017,1834349504,895112,2049,206,NA
"kern",2017,1834349504,895112,2049,184,NA
"kern",2017,1834349504,895112,2049,1522,NA
"kern",2017,1834349504,895112,2049,35,NA
"kern",2017,1834349504,895112,2049,10,NA
"kern",2017,1834349504,895112,2049,16,NA
"kern",2017,1834349504,895112,2049,1319,NA
"kern",2017,1834349504,895112,2049,33,NA
"kern",2017,1834349504,895112,2049,41,NA
"kern",2017,1834349504,895112,2049,183,NA
"kern",2017,1834349504,895112,2049,1350,NA
"kern",2017,1834349504,895112,2049,1200,NA
"kern",2017,1834349504,895112,2049,50,NA
"kern",2017,1834349504,895112,2049,10,NA
"kern",2017,1834349504,895112,2049,1083,NA
"kern",2017,1834349504,895112,2049,1626,NA
"kern",2017,1834349504,895112,2049,40,NA
"kern",2017,1834349504,895112,2049,2940,NA
"kern",2017,1834349504,895112,2049,338,NA
"kern",2017,1834349504,895112,2049,19,NA
"kern",2017,1834349504,895112,2049,50,NA
"kern",2017,1834349504,895112,2049,506,NA
"kern",2017,1834349504,895112,2049,288,NA
"kern",2018,1862364108,905801,2056,114,NA
"kern",2018,1862364108,905801,2056,993,NA
"kern",2018,1862364108,905801,2056,34,NA
"kern",2018,1862364108,905801,2056,62,NA
"kern",2018,1862364108,905801,2056,95,NA
"kern",2018,1862364108,905801,2056,293,NA
"kern",2018,1862364108,905801,2056,367,NA
"kern",2018,1862364108,905801,2056,200,NA
"kern",2018,1862364108,905801,2056,2950,NA
"kern",2019,1910928208,916464,2085,448,NA
"kern",2019,1910928208,916464,2085,115,NA
"kern",2019,1910928208,916464,2085,2500,NA
"kern",2019,1910928208,916464,2085,172,NA
"kern",2019,1910928208,916464,2085,29,NA
"kern",2019,1910928208,916464,2085,208,NA
"kings",2017,268613402,149537,1796,2312,NA
"kings",2017,268613402,149537,1796,48889,1
"kings",2017,268613402,149537,1796,20,NA
"kings",2018,274851463,151662,1812,2995,NA
"kings",2019,295343229,153710,1921,161,NA
"lake",2013,113536967,64531,1759,50,NA
"lake",2013,113536967,64531,1759,23,NA
"lake",2013,113536967,64531,1759,296,NA
"lake",2013,113536967,64531,1759,70,NA
"lake",2013,113536967,64531,1759,30,NA
"lake",2013,113536967,64531,1759,120,1
"lake",2013,113536967,64531,1759,25,NA
"lake",2013,113536967,64531,1759,28,NA
"lake",2013,113536967,64531,1759,30,NA
"lake",2013,113536967,64531,1759,38,NA
"lake",2014,122092336,64699,1887,4300,9
"lake",2014,122092336,64699,1887,175,NA
"lake",2014,122092336,64699,1887,100,NA
"lake",2015,124266357,64918,1914,22,NA
"lake",2015,124266357,64918,1914,25118,27
"lake",2015,124266357,64918,1914,215,NA
"lake",2015,124266357,64918,1914,673,NA
"lake",2015,124266357,64918,1914,69438,96
"lake",2015,124266357,64918,1914,25,NA
"lake",2016,149993687,64306,2332,25,NA
"lake",2016,149993687,64306,2332,3929,300
"lake",2016,149993687,64306,2332,20,NA
"lake",2016,149993687,64306,2332,215,NA
"lake",2016,149993687,64306,2332,45,NA
"lake",2016,149993687,64306,2332,36,NA
"lake",2016,149993687,64306,2332,69,NA
"lake",2017,141621306,64945,2181,200,NA
"lake",2017,141621306,64945,2181,40,NA
"lake",2017,141621306,64945,2181,58,NA
"lake",2017,141621306,64945,2181,2207,162
"lake",2017,141621306,64945,2181,87,NA
"lake",2017,141621306,64945,2181,21,NA
"lake",2017,141621306,64945,2181,62,NA
"lake",2017,141621306,64945,2181,100,NA
"lake",2018,148872930,65081,2288,60,NA
"lake",2018,148872930,65081,2288,32,NA
"lake",2018,148872930,65081,2288,50,1
"lake",2018,148872930,65081,2288,48920,35
"lake",2018,148872930,65081,2288,36,NA
"lake",2018,148872930,65081,2288,24,NA
"lake",2018,148872930,65081,2288,103,NA
"lake",2018,148872930,65081,2288,410203,246
"lake",2018,148872930,65081,2288,80,1
"lake",2018,148872930,65081,2288,15185,22
"lake",2019,187904772,65071,2888,25,NA
"lake",2019,187904772,65071,2888,53,1
"lake",2019,187904772,65071,2888,28,NA
"lake",2019,187904772,65071,2888,75,NA
"lake",2019,187904772,65071,2888,20,NA
"lassen",2013,53922286,33422,1613,97,NA
"lassen",2015,61709330,32092,1923,10570,NA
"lassen",2015,61709330,32092,1923,30,NA
"lassen",2015,61709330,32092,1923,40,NA
"lassen",2015,61709330,32092,1923,111,NA
"lassen",2015,61709330,32092,1923,60,NA
"lassen",2016,63591051,30780,2066,2575,7
"lassen",2016,63591051,30780,2066,42,NA
"lassen",2017,64789003,30918,2096,157,NA
"lassen",2017,64789003,30918,2096,530,NA
"lassen",2017,64789003,30918,2096,859,NA
"lassen",2017,64789003,30918,2096,0,NA
"lassen",2017,64789003,30918,2096,6042,NA
"lassen",2017,64789003,30918,2096,18618,NA
"lassen",2017,64789003,30918,2096,67,NA
"lassen",2017,64789003,30918,2096,83733,NA
"lassen",2018,68779787,30911,2225,88,NA
"lassen",2018,68779787,30911,2225,18703,NA
"lassen",2018,68779787,30911,2225,167,NA
"lassen",2018,68779787,30911,2225,441,4
"lassen",2018,68779787,30911,2225,89,NA
"lassen",2018,68779787,30911,2225,32,NA
"lassen",2018,68779787,30911,2225,56,NA
"lassen",2018,68779787,30911,2225,646,NA
"lassen",2018,68779787,30911,2225,53,NA
"lassen",2018,68779787,30911,2225,14,NA
"lassen",2019,72911743,30150,2418,193,NA
"lassen",2019,72911743,30150,2418,131,NA
"lassen",2019,72911743,30150,2418,130,NA
"lassen",2019,72911743,30150,2418,260,NA
"lassen",2019,72911743,30150,2418,107,NA
"lassen",2019,72911743,30150,2418,2438,NA
"lassen",2019,72911743,30150,2418,3380,NA
"lassen",2019,72911743,30150,2418,263,NA
"lassen",2019,72911743,30150,2418,55,NA
"lassen",2019,72911743,30150,2418,1020,NA
"los angeles",2013,18594909311,9958091,1867,712,NA
"los angeles",2013,18594909311,9958091,1867,149,NA
"los angeles",2013,18594909311,9958091,1867,268,NA
"los angeles",2013,18594909311,9958091,1867,30274,NA
"los angeles",2013,18594909311,9958091,1867,100,NA
"los angeles",2014,19367532018,10041797,1929,1952,NA
"los angeles",2014,19367532018,10041797,1929,274,NA
"los angeles",2014,19367532018,10041797,1929,190,NA
