"County","Year","Total.Revenues","Estimated.Population","Revenues.Per.Capita","AcresBurned","StructuresDestroyed","year_before","Revenue.Before","Population.Before","year_after","Revenue.After","Population.After"
"LAKE",2018,148872930,65081,2288,15185,22,2017,141621306,64945,2019,187904772,65071
"LASSEN",2015,61709330,32092,1923,10570,NA,2014,58101710,32581,2016,63591051,30780
"LASSEN",2016,63591051,30780,2066,2575,7,2015,61709330,32092,2017,64789003,30918
"LASSEN",2017,64789003,30918,2096,6042,NA,2016,63591051,30780,2018,68779787,30911
"LASSEN",2017,64789003,30918,2096,18618,NA,2016,63591051,30780,2018,68779787,30911
"LASSEN",2017,64789003,30918,2096,83733,NA,2016,63591051,30780,2018,68779787,30911
"LASSEN",2018,68779787,30911,2225,18703,NA,2017,64789003,30918,2019,72911743,30150
"LASSEN",2019,72911743,30150,2418,2438,NA,2018,68779787,30911,2020,81257321,28833
"LASSEN",2019,72911743,30150,2418,3380,NA,2018,68779787,30911,2020,81257321,28833
"LASSEN",2019,72911743,30150,2418,1020,NA,2018,68779787,30911,2020,81257321,28833
"LOS ANGELES",2013,18594909311,9958091,1867,30274,NA,2012,17396447967,9884632,2014,19367532018,10041797
"LOS ANGELES",2014,19367532018,10041797,1929,1952,NA,2013,18594909311,9958091,2015,20236668800,10136559
"LOS ANGELES",2016,20636464907,10241335,2015,4824,NA,2015,20236668800,10136559,2017,23422437171,10241278
"LOS ANGELES",2016,20636464907,10241335,2015,1109,NA,2015,20236668800,10136559,2017,23422437171,10241278
"LOS ANGELES",2016,20636464907,10241335,2015,5399,NA,2015,20236668800,10136559,2017,23422437171,10241278
"LOS ANGELES",2017,23422437171,10241278,2287,6049,6,2016,20636464907,10241335,2018,24829342650,10283729
"LOS ANGELES",2017,23422437171,10241278,2287,7194,NA,2016,20636464907,10241335,2018,24829342650,10283729
"LOS ANGELES",2017,23422437171,10241278,2287,15619,37,2016,20636464907,10241335,2018,24829342650,10283729
"LOS ANGELES",2018,24829342650,10283729,2414,3380,NA,2017,23422437171,10241278,2019,28159902983,10253716
"LOS ANGELES",2018,24829342650,10283729,2414,1352,NA,2017,23422437171,10241278,2019,28159902983,10253716
"LOS ANGELES",2018,24829342650,10283729,2414,96949,1643,2017,23422437171,10241278,2019,28159902983,10253716
"LOS ANGELES",2019,28159902983,10253716,2746,4615,22,2018,24829342650,10283729,2020,29959688130,10172951
"LOS ANGELES",2019,28159902983,10253716,2746,8799,19,2018,24829342650,10283729,2020,29959688130,10172951
"MADERA",2014,183041936,153897,1189,13838,NA,2013,186381002,152711,2015,206640230,155878
"MADERA",2015,206640230,155878,1326,5702,NA,2014,183041936,153897,2016,216823054,155349
"MADERA",2017,244396339,156492,1562,12407,NA,2016,216823054,155349,2018,267664692,158894
"MADERA",2017,244396339,156492,1562,1431,NA,2016,216823054,155349,2018,267664692,158894
"MADERA",2017,244396339,156492,1562,1035,4,2016,216823054,155349,2018,267664692,158894
"MADERA",2018,267664692,158894,1685,4064,NA,2017,244396339,156492,2019,305627409,159536
"MARIPOSA",2013,55737470,18026,3092,1708,NA,2012,56691069,17716,2014,57679389,18467
"MARIPOSA",2014,57679389,18467,3123,4772,NA,2013,55737470,18026,2015,60063662,17791
"MARIPOSA",2014,57679389,18467,3123,1080,NA,2013,55737470,18026,2015,60063662,17791
"MARIPOSA",2014,57679389,18467,3123,4689,NA,2013,55737470,18026,2015,60063662,17791
"MARIPOSA",2017,71395521,18148,3934,7000,NA,2016,66657856,18159,2018,77874291,18129
"MARIPOSA",2017,71395521,18148,3934,81826,131,2016,66657856,18159,2018,77874291,18129
"MARIPOSA",2017,71395521,18148,3934,8094,NA,2016,66657856,18159,2018,77874291,18129
"MARIPOSA",2018,77874291,18129,4296,96901,NA,2017,71395521,18148,2019,82902148,18068
"MARIPOSA",2019,82902148,18068,4588,1300,NA,2018,77874291,18129,2020,88255323,18067
"MARIPOSA",2019,82902148,18068,4588,5563,1,2018,77874291,18129,2020,88255323,18067
"MENDOCINO",2014,186975941,89029,2100,12536,NA,2013,183588351,88291,2015,198654917,88863
"MENDOCINO",2017,235560312,89134,2643,36523,546,2016,206272668,88378,2018,245693086,89299
