"County","Year","Total.Revenues","Estimated.Population","Revenues.Per.Capita","AcresBurned","StructuresDestroyed","year_before","Revenue.Before","Population.Before","year_after","Revenue.After","Population.After"
"TULARE",2013,669540337,455599,1470,2060,NA,2012,667133295,450840,2014,689923821,459446
"TULARE",2015,711263207,462189,1539,6980,NA,2014,689923821,459446,2016,750322651,466339
"TULARE",2016,750322651,466339,1609,4347,NA,2015,711263207,462189,2017,833047726,471842
"TULARE",2017,833047726,471842,1766,2295,NA,2016,750322651,466339,2018,907474356,475834
"TULARE",2017,833047726,471842,1766,2289,NA,2016,750322651,466339,2018,907474356,475834
"TULARE",2017,833047726,471842,1766,18900,NA,2016,750322651,466339,2018,907474356,475834
"TULARE",2017,833047726,471842,1766,36556,2,2016,750322651,466339,2018,907474356,475834
"TULARE",2017,833047726,471842,1766,16031,NA,2016,750322651,466339,2018,907474356,475834
"TUOLUMNE",2013,100646436,54360,1851,257314,NA,2012,103688846,53834,2014,103434997,53604
"TUOLUMNE",2013,100646436,54360,1851,1070,NA,2012,103688846,53834,2014,103434997,53604
"TUOLUMNE",2016,119346186,54900,2174,1080,NA,2015,115533216,54337,2017,146765324,54707
"TUOLUMNE",2018,153248781,54740,2800,36450,NA,2017,146765324,54707,2019,176162121,54590
"VENTURA",2013,1378237404,835436,1650,24251,10,2012,1328768893,832970,2014,1461065531,842967
"VENTURA",2013,1378237404,835436,1650,4346,NA,2012,1328768893,832970,2014,1461065531,842967
"VENTURA",2016,1545674626,856508,1805,2304,NA,2015,1507676039,848073,2017,1900770086,857386
"VENTURA",2017,1900770086,857386,2217,281893,1063,2016,1545674626,856508,2018,1993356302,859073
"VENTURA",2018,1993356302,859073,2320,4531,4,2017,1900770086,857386,2019,2338009501,856598
"VENTURA",2018,1993356302,859073,2320,96949,1643,2017,1900770086,857386,2019,2338009501,856598
"VENTURA",2019,2338009501,856598,2729,9999,4,2018,1993356302,859073,2020,2402570115,842886
"VENTURA",2019,2338009501,856598,2729,1806,NA,2018,1993356302,859073,2020,2402570115,842886
"YOLO",2014,290297398,206381,1407,6488,NA,2013,287170871,205999,2015,282337607,209393
"YOLO",2016,312607775,214555,1457,5731,2,2015,282337607,209393,2017,329855079,218896
"YOLO",2017,329855079,218896,1507,2269,NA,2016,312607775,214555,2018,388966661,221270
"YOLO",2018,388966661,221270,1758,90288,29,2017,329855079,218896,2019,427372305,222581
"YOLO",2019,427372305,222581,1920,2512,7,2018,388966661,221270,2020,444069628,221705
"YUBA",2017,171928957,74577,2305,9989,264,2016,169254751,74345,2018,201513652,74727
